Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy,Time Cost (s),Training Recall,Training Precision,Training F1 Score,Validation Recall,Validation Precision,Validation F1 Score
1,0.2947,0.2687,0.909,0.918,29.902,0.449,0.966,0.613,0.522,1.000,0.686
2,0.2530,0.2653,0.920,0.918,29.527,0.528,0.950,0.678,0.522,1.000,0.686
3,0.2408,0.2609,0.926,0.920,29.485,0.555,0.972,0.707,0.533,1.000,0.696
4,0.2354,0.2593,0.927,0.920,28.645,0.555,0.979,0.709,0.533,1.000,0.696
5,0.2326,0.2570,0.927,0.918,28.936,0.555,0.986,0.710,0.533,0.980,0.691
6,0.2299,0.2607,0.927,0.918,29.537,0.555,0.986,0.710,0.533,0.980,0.691
7,0.2276,0.2594,0.928,0.918,30.294,0.555,0.993,0.712,0.533,0.980,0.691
8,0.2273,0.2599,0.928,0.918,29.905,0.555,0.993,0.712,0.533,0.980,0.691
9,0.2245,0.2570,0.930,0.918,29.024,0.567,0.993,0.722,0.533,0.980,0.691
10,0.2223,0.2627,0.929,0.918,28.161,0.567,0.986,0.720,0.533,0.980,0.691
11,0.2176,0.2525,0.932,0.918,28.158,0.583,0.987,0.733,0.533,0.980,0.691
12,0.2149,0.2459,0.931,0.922,28.734,0.583,0.980,0.731,0.556,0.980,0.709
13,0.2112,0.2476,0.929,0.918,29.136,0.583,0.961,0.725,0.533,0.980,0.691
14,0.2134,0.2487,0.925,0.918,29.278,0.579,0.930,0.714,0.533,0.980,0.691
15,0.2020,0.2433,0.930,0.920,29.780,0.594,0.956,0.733,0.544,0.980,0.700
16,0.1961,0.2443,0.931,0.920,28.473,0.602,0.950,0.737,0.544,0.980,0.700
